name,office,district_type,district_number,district_area,email,phone,website,x_account,facebook_page,level,party,term_start_date,next_election_date,annual_salary
Liz Breadon,City Councilor,District,9,,liz.breadon@boston.gov,(617) 635-4219,https://www.boston.gov/city-council-liz-breadon,@LizBreadon,https://www.facebook.com/Liz4AB/,Municipal,Nonpartisan,2020-01-01,2025-11-04,103500
Maura Healey,Governor,,,,,(617) 725-4005,https://www.mass.gov/governor,@MassGovernor,https://www.facebook.com/MAGovernor/,State,Democrat,2023-01-05,2026-11-03,185000
Andrea Campbell,Attorney General,,,,ago@mass.gov,(617) 727-2200,https://www.mass.gov/ag,@MassAGO,https://www.facebook.com/MassAttorneyGeneral/,State,Democrat,2023-01-04,2026-11-03,175000
Kim Driscoll,Lieutenant Governor,,,,,(617) 725-4005,https://www.mass.gov/lieutenant-governor,@KimDriscollMA,https://www.facebook.com/MassLtGov/,State,Democrat,2023-01-05,2026-11-03,165000
Deborah Goldberg,State Treasurer,,,,treasurer@tre.state.ma.us,(617) 367-6900,https://www.mass.gov/treasurer,,https://www.facebook.com/masstreasury/,State,Democrat,2015-01-07,2026-11-03,175000
Michelle Wu,Mayor,,,,mayor@boston.gov,(617) 635-4500,https://www.boston.gov/mayor,@MayorWu,https://www.facebook.com/MayorWu/,Municipal,Democrat,2021-11-16,2025-11-04,207738
Nick Collins,State Senator,District,1,Suffolk,Nick.Collins@masenate.gov,(617) 722-1150,https://malegislature.gov/legislators/profile/nbc1,@nickcollinsma,https://www.facebook.com/nickcollinsma/,State,Democrat,2018-06-05,2024-11-05,73655
Nika Elugardo,State Representative,District,15,Suffolk,nika.elugardo@mahouse.gov,(617) 722-2263,https://malegislature.gov/legislators/profile/nce1,@NikaElugardo,https://www.facebook.com/nikaforrep/,State,Democrat,2019-01-02,2024-11-05,73655
Liz Miranda,State Representative,District,5,Suffolk,Liz.Miranda@mahouse.gov,(617) 722-2011,https://malegislature.gov/legislators/profile/emm1,,https://www.facebook.com/people/State-Senator-Liz-Miranda/61554821999607/,State,Democrat,2019-01-02,2024-11-05,73655
Jake Auchincloss,U.S. Representative,District,4,South Shore/Newton,Jake.Auchincloss@mail.house.gov,(617) 332-3920,https://auchincloss.house.gov,,https://www.facebook.com/RepAuchincloss/,Federal,Democrat,2021-01-03,2024-11-05,174000
Ayanna Pressley,U.S. Representative,District,7,Boston/Cambridge/Somerville,Ayanna.Pressley@mail.house.gov,(617) 850-0040,https://pressley.house.gov,,https://www.facebook.com/RepAyannaPressley/,Federal,Democrat,2019-01-03,2024-11-05,174000
Bud Williams,State Representative,District,11,Suffolk,Bud.Williams@mahouse.gov,(617) 722-2430,https://malegislature.gov/legislators/profile/bww1,,https://www.facebook.com/RepBudLWilliams/,State,Democrat,2017-01-04,2024-11-05,73655
Chynah Tyler,State Representative,District,7,Suffolk,Chynah.Tyler@mahouse.gov,(617) 722-2060,https://malegislature.gov/legislators/profile/cet1,@RepChynahTyler,https://www.facebook.com/RepChynahTyler/,State,Democrat,2021-01-06,2024-11-05,73655
Jim McGovern,U.S. Representative,District,2,Central Massachusetts,James.McGovern@mail.house.gov,(508) 677-0140,https://mcgovern.house.gov,,https://www.facebook.com/RepJimMcGovern/,Federal,Democrat,1997-01-07,2024-11-05,174000
Katherine Clark,U.S. Representative,District,5,North/Northwest Suburbs,Katherine.Clark@mail.house.gov,(617) 354-0292,https://katherineclark.house.gov,,https://www.facebook.com/RepKClark/,Federal,Democrat,2013-12-10,2024-11-05,174000
Lori Trahan,U.S. Representative,District,3,Merrimack Valley,Lori.Trahan@mail.house.gov,(978) 459-0101,https://trahan.house.gov,,https://www.facebook.com/RepLoriTrahan/,Federal,Democrat,2019-01-03,2024-11-05,174000
Aaron Michlewitz,State Representative,District,3,Suffolk,Aaron.Michlewitz@mahouse.gov,(617) 722-2990,https://malegislature.gov/legislators/profile/asm2,@RepMichlewitz,https://www.facebook.com/RepMichlewitz/,State,Democrat,2009-01-07,2024-11-05,73655
Seth Moulton,U.S. Representative,District,6,North Shore,Seth.Moulton@mail.house.gov,(978) 531-1669,https://moulton.house.gov,,https://www.facebook.com/RepMoulton/,Federal,Democrat,2015-01-06,2024-11-05,174000
Richard Neal,U.S. Representative,District,1,Western Massachusetts,Richard.Neal@mail.house.gov,(413) 785-0325,https://neal.house.gov,,https://www.facebook.com/reprichardneal/,Federal,Democrat,1989-01-03,2024-11-05,174000
Stephen Lynch,U.S. Representative,District,8,South Boston/South Shore,Stephen.Lynch@mail.house.gov,(617) 428-2000,https://lynch.house.gov,,https://www.facebook.com/repstephenlynch/,Federal,Democrat,2001-10-16,2024-11-05,174000
Ruthzee Louijeune,City Councilor,At-Large,,,ruthzee.louijeune@boston.gov,(617) 635-4205,https://www.boston.gov/city-council-ruthzee-louijeune,@Ruthzee,https://www.facebook.com/RuthzeeforBoston/,Municipal,Nonpartisan,2022-01-01,2025-11-04,103500
Elizabeth Warren,U.S. Senator,,,,elizabeth_warren@warren.senate.gov,(617) 565-3170,https://www.warren.senate.gov,@SenWarren,https://www.facebook.com/senatorelizabethwarren/,Federal,Democrat,2013-01-03,2024-11-05,174000
Mike Rush,State Senator,District,,Norfolk & Suffolk,Mike.Rush@masenate.gov,(617) 722-1348,https://malegislature.gov/legislators/profile/mbr1,,https://www.facebook.com/SenatorMikeRush/,State,Democrat,2011-01-05,2024-11-05,73655
Patricia Jehlen,State Senator,District,2,Middlesex,Patricia.Jehlen@masenate.gov,(617) 722-1578,https://malegislature.gov/legislators/profile/pnj1,,https://www.facebook.com/SenatorPatriciaJehlen/,State,Democrat,2005-09-13,2024-11-05,73655
Sal DiDomenico,State Senator,District,,Middlesex & Suffolk,Sal.DiDomenico@masenate.gov,(617) 722-1650,https://malegislature.gov/legislators/profile/sjd1,@SenDiDomenico,https://www.facebook.com/SenSalDiDomenico/,State,Democrat,2010-05-11,2024-11-05,73655
Sharon Durkan,City Councilor,District,8,,sharon.durkan@boston.gov,(617) 635-4225,https://www.boston.gov/city-council-sharon-durkan,@councilordurkan,https://www.facebook.com/sharondurkand8/,Municipal,Nonpartisan,2024-01-01,2025-11-04,103500
Lydia Edwards,State Senator,District,,Suffolk & Middlesex,Lydia.Edwards@masenate.gov,(617) 722-1634,https://malegislature.gov/legislators/profile/lye1,,https://www.facebook.com/TeamEdwardsforSenate/,State,Democrat,2022-04-12,2024-11-05,73655
Jay Livingstone,State Representative,District,8,Suffolk,Jay.Livingstone@mahouse.gov,(617) 722-2011,https://malegislature.gov/legislators/profile/jrl1,@jaylivingstone,https://www.facebook.com/VoteJayLivingstone/,State,Democrat,2013-01-02,2024-11-05,73655
Brian Worrell,City Councilor,District,4,,brian.worrell@boston.gov,(617) 635-4203,https://www.boston.gov/city-council-brian-worrell,@VoteWorrell,https://www.facebook.com/VoteWorrell/,Municipal,Nonpartisan,2022-01-01,2025-11-04,103500
Russell Holmes,State Representative,District,6,Suffolk,Russell.Holmes@mahouse.gov,(617) 722-2220,https://malegislature.gov/legislators/profile/rjh2,,,State,Democrat,2011-01-05,2024-11-05,73655
Tania Fernandes Anderson,City Councilor,District,7,,tania.anderson@boston.gov,(617) 635-4224,https://www.boston.gov/city-council-tania-anderson,,,Municipal,Nonpartisan,2022-01-01,2025-11-04,103500
